Site Identifier,Latitude,Longitude,Demand_Index,city,suburb,address,Site_Loadshedding_Risk,Distance_to_Metro_KM,Closest_Metro,Metro_Proximity_Score,Base_Risk_Category,Adjusted_Risk_Category,Total_Weighted_Score,Final_Classification,Factor_Scores
769,-34.06,18.76,30,N/A,Cape Town Ward 109,"Felix Street, Cape Town Ward 109, Western Cape, 7134, South Africa",66,34.41896173458932,Cape Town,2.8233464534998602,Red,Red,3.2537172055485675,Risky,"{""loadshedding"": 3.4000000000000004, ""interop"": 2.7964650693570965, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
2244,-33.67,18.92,30,Paarl,Drakenstein Ward 3,"unnamed road, Drakenstein Ward 3, Paarl, 7630, South Africa",55,53.88049446061955,Cape Town,1.822141017183377,Amber,Amber,4.568067745635877,Risky,"{""loadshedding"": 4.5, ""interop"": 2.163346820448455, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
11188,-31.57,28.66,30,King Sabata Dalindyebo Nu,N/A,"King Sabata Dalindyebo Nu, South Africa",49,295.257237204988,Durban,0.33754449661193403,Amber,Amber,4.593515124247297,Risky,"{""loadshedding"": 5.1, ""interop"": 0.6064390530912055, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
2390,-33.98,23.81,30,Kou-Kamma Local Municipality,Kou-Kamma Ward 2,"unnamed road, Kou-Kamma Ward 2, Kou-Kamma Local Municipality, South Africa",65,166.44290737163035,Port Elizabeth,0.597218488198222,Red,Red,3.1331124475005563,Risky,"{""loadshedding"": 3.5, ""interop"": 0.97640559375696, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
4003,-26.04,31.02,30,Ekulindeni,N/A,"53 Unknown Street, Ekulindeni, South Africa",53,281.035034600644,Pretoria,0.35456587917028826,Amber,Amber,4.495624565979028,Risky,"{""loadshedding"": 4.7, ""interop"": 0.6328070747378565, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
434,-29.43,30.58,30,uMshwathi Local Municipality,uMshwathi Ward 7,"High Street, uMshwathi Ward 7, uMshwathi Local Municipality, South Africa",60,63.994400429231995,Durban,1.5385940840993406,Red,Red,3.335404688129322,Risky,"{""loadshedding"": 4.0, ""interop"": 1.9425586016165246, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
707,-31.82,18.24,30,Matzikama Local Municipality,Matzikama Ward 2,"Baker Street, Matzikama Ward 2, Matzikama Local Municipality, 8151, South Africa",58,234.684681834099,Cape Town,0.42429571248245607,Amber,Amber,4.378997981889036,Risky,"{""loadshedding"": 4.2, ""interop"": 0.7374747736129444, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
3437,-32.57,27.45,30,Stutterheim,N/A,"2592 Null, Stutterheim, South Africa",65,230.32552618046492,Port Elizabeth,0.43229124624139664,Red,Red,3.1149317970523684,Risky,"{""loadshedding"": 3.5, ""interop"": 0.7491474631546123, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
2228,-34.12,18.91,30,Somerset West,N/A,"679 Mandela, Somerset West, South Africa",64,49.75883365449312,Cape Town,1.9701004298223883,Red,Red,3.2615918784021805,Risky,"{""loadshedding"": 3.5999999999999996, ""interop"": 2.269898480027261, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
95,-34.12,22.11,30,George,Mossel Bay Ward 10,"Onzerust Avenue, Mossel Bay Ward 10, George, 6506, South Africa",49,323.3986879374937,Port Elizabeth,0.3082626524656855,Amber,Amber,4.589822647688071,Risky,"{""loadshedding"": 5.1, ""interop"": 0.5602830961008832, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
303,-28.97,30.87,30,Kranskop,N/A,"Kranskop, South Africa",66,99.90678187185196,Durban,0.9910136677135979,Red,Red,3.1448747232823067,Risky,"{""loadshedding"": 3.4000000000000004, ""interop"": 1.4359340410288386, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
