Site Identifier,Site Type,LAT Trimmed,LON Trimmed
1709,Openserve Property,-25.09,28.31
1658,Openserve Property,-26.15,26.16
777,Openserve Property,-34.03,18.6
1007,Openserve Property,-26.13,27.91
5797,Openserve Property,-25.84,25.61
776,Openserve Property,-33.88,18.5
1759,Openserve Property,-23.01,30.01
1520,Openserve Property,-25.78,28.24
1670,Openserve Property,-25.71,28.38
942,Openserve Property,-26.4,27.83
1555,Openserve Property,-26.46,29.46
415,Openserve Property,-29.01,31.01
1002,Openserve Property,-26.05,27.98
905,Openserve Property,-26.09,27.96
1825,Openserve Property,-29.84,31.02
452,Openserve Property,-30.01,26.01
114,Openserve Property,-33.4,25.44
843,Openserve Property,-33.94,18.86
1998,Openserve Property,-26.27,27.88
4636,Openserve Property,-22.97,30.46
463,Openserve Property,-28.23,28.31
897,Openserve Property,-26.06,28.23
2203,Openserve Property,-33.46,18.73
841,Openserve Property,-34.08,18.47
4938,Openserve Property,-29.72,31.06
892,Openserve Property,-26.18,28.27
441,Openserve Property,-29.83,30.94
1750,Openserve Property,-27.4,24.59
2164,Openserve Property,-33.98,18.47
9940,Openserve Property,-31.97,28.68
1324,Openserve Property,-25.81,28.74
2232,Openserve Property,-33.83,18.51
2092,Openserve Property,-26.34,28.36
899,Openserve Property,-26.14,28.27
734,Openserve Property,-33.99,18.54
972,Openserve Property,-25.93,27.93
389,Openserve Property,-30.74,30.45
870,Openserve Property,-31.66,18.51
1014,Openserve Property,-26.28,27.84
62,Openserve Property,-32.98,27.9
1631,Openserve Property,-25.66,28.31
949,Openserve Property,-26.16,28.08
11510,Openserve Property,-25.35,26.53
1376,Openserve Property,-25.05,31.13
1708,Openserve Property,-25.67,28.25
1662,Openserve Property,-23.04,29.91
2227,Openserve Property,-34.19,18.43
300,Openserve Property,-29.01,30
2067,Openserve Property,-26.08,28.2
339,Openserve Property,-29.58,30
1618,Openserve Property,-26.5,28.36
305,Openserve Property,-29.75,30.97
2209,Openserve Property,-33.72,18.99
430,Openserve Property,-29.64,31.05
2086,Openserve Property,-34.05,18.46
209,Openserve Property,-29.73,30.59
1835,Openserve Property,-28.01,32
2185,Openserve Property,-33.9,18.55
294,Openserve Property,-30.15,30.06
413,Openserve Property,-29.01,31
1605,Openserve Property,-26.52,29.98
4284,Openserve Property,-28.94,27.06
782,Openserve Property,-34.1,18.47
182,Openserve Property,-33.74,25.43
980,Openserve Property,-26.11,28.11
1048,Openserve Property,-26.12,27.86
2167,Openserve Property,-33.97,18.51
846,Openserve Property,-34.12,18.83
1375,Openserve Property,-25.75,28.23
5846,Openserve Property,-32.94,27.76
33,Openserve Property,-29.67,22.75
1898,Openserve Property,-26.9,27.46
941,Openserve Property,-26.29,28.07
1916,Openserve Property,-27.43,29.16
903,Openserve Property,-26.24,28.36
1404,Openserve Property,-25.01,28
377,Openserve Property,-29.01,30.4
4118,Openserve Property,-25.87,28.19
89,Openserve Property,-33.31,26.53
1864,Openserve Property,-28.3,31.43
1567,Openserve Property,-26.36,27.4
755,Openserve Property,-33.85,18.72
869,Openserve Property,-32.91,17.99
4056,Openserve Property,-29.91,30.87
934,Openserve Property,-26,27.01
1019,Openserve Property,-26.26,28.02
1576,Openserve Property,-25.71,28.15
391,Openserve Property,-29.81,30.94
1415,Openserve Property,-25.1,30.45
821,Openserve Property,-33.8,19.88
2089,Openserve Property,-29.87,30.27
190,Openserve Property,-29.02,30
1918,Openserve Property,-30.29,30.75
651,Openserve Property,-33.56,18.5
419,Openserve Property,-29.57,31.12
135,Openserve Property,-34.18,22.14
916,Openserve Property,-26.24,27.95
1717,Openserve Property,-26.66,27.89
194,Openserve Property,-29,31.21
