Site Identifier,Site Type,LAT Trimmed,LON Trimmed,Formatted_Address,City,Suburb,Postcode
4748,Openserve Property,-29.01,30,"Umtshezi Ward 9, Umtshezi Local Municipality, Uthukela District Municipality, South Africa",Umtshezi Local Municipality,Umtshezi Ward 9,N/A
921,Openserve Property,-25.86,28.21,"118 Outeniqua Avenue, Centurion, South Africa",Centurion,N/A,
3003,Openserve Property,-24.34,29.93,"Gaselepe, South Africa",Gaselepe,N/A,
8449,Openserve Property,-25.69,27.32,"Rustenburg, South Africa",Rustenburg,N/A,
14099,Openserve Property,-31.26,25.8,"Gariep Ward 3, Gariep Local Municipality, 5920, South Africa",Gariep Local Municipality,Gariep Ward 3,5920
11318,Openserve Property,-32.93,27.73,"1299 Street, Mdantsane, South Africa",Mdantsane,N/A,
1180,Openserve Property,-28.33,24.21,"Ulco, South Africa",Ulco,N/A,
327,Openserve Property,-29.82,30.76,"unnamed road, eThekwini Ward 7, KwaZulu-Natal, 3603, South Africa",N/A,eThekwini Ward 7,3603
3263,Openserve Property,-29.75,29.51,"Himeville, South Africa",Himeville,N/A,
1436,Openserve Property,-25.75,27.56,"Meerlust Ave, Mooinooi, South Africa",Mooinooi,N/A,
18536,Openserve Property,-23.91,29.13,"unnamed road, Takalane, Aganang Local Municipality, South Africa",Aganang Local Municipality,Takalane,N/A
37159,Openserve Property,-27.98,26.73,"Octavia Street, Jim Fouche Park, Welkom, 9460, South Africa",Welkom,Jim Fouche Park,9460
571,Openserve Property,-29.15,26.17,"28 Vlakfontein Street, Bloemfontein, South Africa",Bloemfontein,N/A,
3698,Openserve Property,-26.17,30.63,"Albert Luthuli Nu, South Africa",Albert Luthuli Nu,N/A,
35024,Openserve Property,-26.16,27.94,"30 Lange Avenue, Roodepoort, South Africa",Roodepoort,N/A,
15034,Openserve Property,-26.03,27.97,"Randburg, South Africa",Randburg,N/A,
21847,Openserve Property,-25.91,28.06,"Centurion, South Africa",Centurion,N/A,
12256,Openserve Property,-31.8,27.77,"Street, Kunobopa, South Africa",Kunobopa,N/A,
